职位,期待薪资,工作标签,技能要求,工作经验,学历,城市,公司,公司规模,福利列表
AI大模型软件开发工程师（java/go/python）,20-30K,"['在校/应届', '硕士']","['Golang', 'Java', '不接受居家办公', '推理', 'Docker', 'PostgreSQL', 'SpringCloud', 'MySQL', 'AI', 'Redis', '大模型', 'Spring']",在校/应届,硕士,深圳,华为云计算,10000人以上,"['住房补贴', '员工旅游', '零食下午茶', '节日福利', '法定节假日三薪', '节假日加班费', '生日福利', '意外险', '年终奖', '加班补助', '夜班补助', '免费班车', '保底工资', '补充医疗保险', '带薪年假', '交通补助', '绩效奖金', '定期体检', '团建聚餐', '五险一金']"
Java开发工程师,12-20K,"['5-10年', '本科']","['Java', 'SpringCloud', 'MySQL', 'SQL Server', 'Spring', 'Oracle']",5-10年,本科,宁波,浙鼎教育,20-99人,"['包吃', '五险一金', '带薪年假', '全勤奖', '年终奖', '住房补贴', '节日福利', '交通补助', '员工旅游']"
Java,14-15K,"['3-5年', '大专']","['Java', 'SpringCloud', 'MySQL']",3-5年,大专,深圳,建广数科,1000-9999人,"['节日福利', '团建聚餐', '零食下午茶', '年终奖', '带薪年假', '五险一金', '员工旅游', '定期体检', '工龄奖']"
软件设计师,6-10K,"['1-3年', '本科']","['Java', 'Python', 'Spring', 'MySQL', '大数据经验', '区块链经验', '云计算经验', '不接受居家办公']",1-3年,本科,济宁,神华信息,100-499人,"['五险一金', '全勤奖', '绩效奖金', '商业险', '通讯补贴', '带薪年假', '餐补', '工龄奖', '节日福利', '意外险', '免费工装']"
Java开发工程师,8-13K,"['5-10年', '本科']","['Hibernate', 'MySQL', '分布式技术', 'Struts', 'SpringBoot', 'Spring']",5-10年,本科,芜湖,创易科技,100-499人,"['餐补', '加班补助', '通讯补贴', '交通补助', '带薪年假', '节日福利', '五险一金']"
资深后端开发工程师（外企 CICD Azure）,20-25K,"['5-10年', '本科']","['Java', 'SpringCloud', 'MySQL', '分布式经验', '云计算经验', 'Azure', 'CICD', '工业', '机械', '阿里云']",5-10年,本科,上海,某大型知名通用设备公司,10000人以上,[]
中级java开发工程师,7-12K,"['1-3年', '大专']","['不接受居家办公', 'Java', 'Python', 'Spring', 'SpringCloud', 'MySQL', 'Redis', 'Oracle', '微服务经验', '物联网经验']",1-3年,大专,武汉,创信恒通,20-99人,"['五险一金', '零食下午茶']"
中级java开发工程师,11-14K,"['3-5年', '本科']","['Java', 'SpringCloud', 'MySQL']",3-5年,本科,上海,趣影互动,100-499人,"['交通补助', '五险一金', '零食下午茶', '意外险', '带薪年假', '法定节假日三薪', '底薪加提成', '团建聚餐', '绩效奖金', '餐补']"
高级Java开发工程师,20-35K,"['5-10年', '本科']","['Java', '后端']",5-10年,本科,上海,极兔速递,10000人以上,"['节日福利', '免费班车', '全勤奖', '年终奖', '带薪年假', '员工旅游', '定期体检', '五险一金']"
开发工程师-java方向（海口）,10-15K,"['3-5年', '本科']","['Java', 'JavaScript', 'Java开发经验']",3-5年,本科,海口,易航科技,1000-9999人,"['生日福利', '补充医疗保险', '定期体检', '节日福利', '团建聚餐', '福利机票', '工龄奖', '绩效奖金', '五险一金', '带薪年假']"
初级java开发工程师,8-13K,"['1-3年', '本科']","['Java', 'Spring', 'SpringCloud', 'MySQL', '微服务经验']",1-3年,本科,杭州,麟康医疗,20-99人,"['生日福利', '零食下午茶', '带薪年假', '法定节假日三薪', '底薪加提成', '五险一金', '定期体检', '全勤奖', '节日福利', '年终奖', '团建聚餐']"
java开发工程师,11-20K,"['5-10年', '本科']","['Java', '不接受居家办公', '微服务经验', 'SpringCloud', 'MySQL', '项目管理', 'MyBatis', 'Redis', 'Spring', 'Python']",5-10年,本科,佛山,理想科技,100-499人,[]
高级Java开发工程师,25-35K·15薪,"['3-5年', '本科']","['Java', '团队管理经验', '不接受居家办公']",3-5年,本科,上海,某大型已上市高精度导航定位技术公司,1000-9999人,"['员工旅游', '免费班车', '餐补', '五险一金', '带薪年假', '节日福利', '年终奖', '定期体检', '股票期权', '团建聚餐']"
Java,8-10K,"['1-3年', '本科']","['Java', 'Spring', 'MySQL']",1-3年,本科,石家庄,广东晏进科技有限公司,20-99人,[]
初级java开发工程师,11-15K,"['1-3年', '本科']","['Java', 'Spring', 'SpringCloud', 'MyBatis', 'MySQL', 'Redis', 'Oracle', '微服务经验']",1-3年,本科,深圳,广东经阳科技有限公司,0-20人,[]
高级服务端工程师（供应链）-base福州,25-40K·15薪,"['5-10年', '本科']","['Java', '微服务经验', 'Spark', 'Spring']",5-10年,本科,北京,朴朴,10000人以上,"['带薪年假', '定期体检', '股票期权', '年终奖', '节日福利', '团建经费']"
Java后端工程师,30-50K,"['3-5年', '本科']","['Java', 'Spring Boot', '微服务', '高并发', 'MySQL']",3-5年,本科,北京,BOSS直聘,1000-9999人,"['加班补助', '股票期权', '住房补贴', '餐补', '年终奖', '定期体检', '节日福利', '带薪年假', '补充医疗保险', '员工旅游', '交通补助']"
中级java工程师,20-35K·15薪,"['1-3年', '本科']","['Java', 'Spring', 'SpringCloud', 'MySQL', 'Oracle', 'Spark', '架构设计经验', '分布式经验', '开源框架']",1-3年,本科,深圳,某中型智能硬件公司,100-499人,[]
初级java开发工程师,5-8K·13薪,"['1-3年', '学历不限']","['Java', 'Spring', 'SpringCloud', 'MyBatis', 'Nginx', 'Docker', 'MySQL', 'Redis', 'PostgreSQL', '微服务经验', '物联网经验']",1-3年,学历不限,厦门,交测,0-20人,"['带薪年假', '全勤奖', '年终奖', '定期体检', '员工旅游', '五险一金', '股票期权']"
数据应用序列工程师岗（应用开发方向）,35-50K,"['5-10年', '本科']","['Java', '团队管理经验', 'MySQL', 'Redis', '架构设计经验', 'Spring']",5-10年,本科,北京,民生科技,1000-9999人,"['包吃', '节日福利', '绩效奖金', '补充医疗保险', '餐补', '带薪年假', '交通补助', '意外险', '高温补贴', '年终奖', '生日福利', '五险一金', '定期体检', '团建聚餐', '免费班车']"
java开发工程师+双休+五险一金,8-12K,"['5-10年', '本科']","['Java', 'Nginx', 'PostgreSQL', 'SpringCloud', 'MySQL', 'Kafka', 'Spring']",5-10年,本科,石家庄,北京知行有数科技,20-99人,"['底薪加提成', '员工旅游', '五险一金', '有无线网', '团建聚餐', '绩效奖金', '通讯补贴', '生日福利', '节日福利', '保底工资']"
后端开发工程(J10171),15-25K,"['1-3年', '本科']","['Java', 'Spring', 'MySQL']",1-3年,本科,上海,华鑫证券,1000-9999人,"['交通补助', '节日福利', '定期体检', '年终奖', '补充医疗保险', '企业年金', '五险一金', '通讯补贴', '有无线网', '绩效奖金', '餐补']"
中高级Java开发工程师（全栈优先）,12-16K,"['5-10年', '本科']","['Java', '不接受居家办公', '微服务经验', 'MySQL', 'SpringCloud', 'MyBatis', 'Spring']",5-10年,本科,南京,锐空达,20-99人,"['年终奖', '节假日加班费', '股票期权', '节日福利', '加班补助', '餐补', '法定节假日三薪', '生日福利', '团建聚餐', '带薪年假', '定期体检', '员工旅游', '五险一金']"
his Java工程师,8-13K,"['3-5年', '本科']","['Java', 'MyBatis', 'SpringCloud', 'Spring', 'Oracle', 'Redis']",3-5年,本科,西安,西安医讯通科技,100-499人,"['意外险', '五险一金']"
高级系统架构师,30-40K,"['5-10年', '本科']",['架构师'],5-10年,本科,深圳,Vboo,100-499人,"['包吃', '五险一金', '员工旅游', '餐补', '年终奖']"
Java后端开发【本部自研+双休】,10-15K·13薪,"['3-5年', '本科']","['Java', '不接受居家办公', 'langchain', 'MySQL', 'Spring']",3-5年,本科,深圳,傲基,1000-9999人,"['节日福利', '带薪年假', '生日福利', '五险一金', '工龄奖', '零食下午茶']"
软件开发工程师,9-13K,"['5-10年', '本科']","['Java', 'Python', 'Spring', 'SpringCloud', 'MySQL']",5-10年,本科,南京,江苏芳华智慧医疗,20-99人,"['五险一金', '交通补助', '带薪年假', '绩效奖金', '免费班车', '员工旅游', '全勤奖', '团建聚餐', '股票期权', '节日福利']"
高级java开发工程师,10-15K,"['5-10年', '本科']","['后端工程师', 'Spring', 'MySQL', 'Redis']",5-10年,本科,太原,山西万腾,100-499人,"['节日福利', '包吃', '带薪年假', '定期体检', '五险一金']"
Java开发 工程师,8-13K,"['3-5年', '本科']","['Java', 'JavaScript', 'SQL', 'SaaS', 'PaaS']",3-5年,本科,东莞,高品,20-99人,"['意外险', '住房补贴', '股票期权', '带薪年假', '全勤奖', '有无线网', '年终奖', '五险一金', '餐补']"
海外广告开发经理,40-60K·13薪,"['5-10年', '本科']","['Java', 'Python', 'Spring', 'SpringCloud', 'MyBatis', 'MySQL', '架构设计经验', '搜索/推荐/广告经验']",5-10年,本科,深圳,某中型AI原生独角兽互联网公司,500-999人,"['带薪年假', '住房补贴', '定期体检', '餐补', '五险一金', '股票期权', '绩效奖金', '意外险', '年终奖', '加班补助', '补充医疗保险', '保底工资', '节日福利', '生日福利', '免费年度体检', '通讯补贴', '团建聚餐', '交通补助', '员工旅游', '零食下午茶']"
Java工程师,4-6K,"['1-3年', '本科']","['Java', 'C', 'MySQL', 'Spring']",1-3年,本科,西安,西安创云海智网络...,0-20人,"['节日福利', '零食下午茶', '带薪年假', '绩效奖金', '五险一金']"
Java 高级工程师（SI0103）,18-28K·14薪,"['5-10年', '本科']","['后端工程师', '架构师', 'Java', 'Spring']",5-10年,本科,长沙,蜜獾信息,500-999人,"['餐补', '五险一金', '加班补助', '补充医疗保险', '带薪年假', '试用期全薪', '员工旅游', '定期体检', '弹性时间', '交通补助', '年终奖', '节日福利']"
Java 知名公司 HC多,20-40K·16薪,"['5-10年', '本科']","['Java', 'Spring', 'SpringCloud', 'Nginx', 'JVM', 'Dubbo', 'MySQL', 'Redis', 'Oracle', 'Hive', 'Spark', '架构设计经验', '分布式经验', '云计算经验', '搜索/推荐/广告经验', '大数据经验']",5-10年,本科,深圳,某大型互联网公司,500-999人,"['通讯补贴', '补充医疗保险', '零食下午茶', '交通补助', '员工旅游', '五险一金', '包吃', '节日福利', '年终奖', '定期体检', '加班补助']"
后端java开发,30-40K,"['3-5年', '本科']","['Java', '物联网经验', '不接受居家办公', 'MySQL', '架构设计经验', 'Spring']",3-5年,本科,上海,某小型基金公司,20-99人,[]
初级java开发工程师,11-15K,"['1-3年', '大专']","['Java', 'Spring', 'SpringCloud', 'MyBatis', 'MySQL', 'Redis', 'Oracle', '微服务经验']",1-3年,大专,天津,广东旭楚科技有限公司,0-20人,[]
java,40-60K,"['5-10年', '本科']","['Java', 'C', 'C++', 'Golang', 'Python', 'Spring', 'Nginx', 'SpringCloud', 'Tomcat', 'Docker', 'MySQL', 'Oracle', 'MongoDB', 'HBase', 'SQL Server', '云计算经验', '分布式经验', '微服务经验', '架构设计经验', '大数据经验', '不接受居家办公']",5-10年,本科,广州,某大型国有计算机软件公司,1000-9999人,"['带薪年假', '五险一金', '年终奖', '定期体检', '企业年金', '节日福利']"
Java,8-13K,"['5-10年', '本科']","['负载均衡技术', '数据结构', '多线程', 'SpringBoot', 'Spring', 'SpringMVC', '分布式技术', '容器技术']",5-10年,本科,杭州,立昱,20-99人,"['有无线网', '年终奖', '五险一金']"
java后端工程师,12-15K,"['3-5年', '本科']","['Java', 'Python', 'SpringCloud', 'MyBatis', 'MySQL', 'Redis', '架构设计经验', 'ERP开发经验']",3-5年,本科,深圳,中港星互联网科技,100-499人,"['全勤奖', '婚育福利', '带薪年假', '股票期权', '餐补', '定期体检', '节日福利', '五险一金', '社团活动', '零食下午茶', '员工旅游', '加班补助']"
2026校招-北京-Java研发工程师,20-30K·16薪,"['在校/应届', '本科']","['Java', 'SpringCloud', 'Spring', 'MySQL']",在校/应届,本科,北京,百度,10000人以上,"['住房补贴', '补充医疗保险', '餐补', '定期体检', '免费班车', '年终奖', '员工旅游', '零食下午茶', '交通补助', '通讯补贴', '五险一金', '节日福利', '带薪年假', '娱乐健身', '加班补助']"
Java初级开发工程师（实习）,150-200元/天,"['5天/周', '3个月', '本科']","['Java', 'SpringCloud', 'MySQL', 'Spring']",,本科,广州,广州协方差科技,0-20人,['五险一金']
物联网研发工程师,30-35K,"['经验不限', '本科']","['Java', '物联网经验', 'PostgreSQL', 'SpringCloud', 'MySQL', '架构设计经验', 'Spring', 'Python']",经验不限,本科,深圳,某小型计算机软件公司,20-99人,"['餐补', '节日福利', '交通补助', '带薪年假', '年终奖', '包吃', '全勤奖', '五险一金', '住房补贴', '定期体检']"
高级java开发工程师,18-22K,"['5-10年', '本科']","['Java', 'SpringCloud', 'Kafka', '接受无前端经验/技能', 'Redis', 'Spring', 'Hive', 'Docker', '微服务经验', 'MySQL', 'MyBatis', '架构设计经验', 'Oracle']",5-10年,本科,北京,白杨科技,20-99人,"['保底工资', '免费工装', '节日福利', '带薪年假', '有无线网', '餐补', '员工旅游', '股票期权', '五险一金', '绩效奖金', '出差补助', '团建聚餐']"
java 3年全栈工程师,12-18K,"['3-5年', '大专']","['Java', '已有开发的小程序上线', '熟悉Vue.js（含Vue3）', '微信支付接口对接', 'MySQL', 'python爬虫', 'MyBatis', 'MongoDB', '架构设计经验', '前后端分离开发模式', 'Oracle']",3-5年,大专,广州,广州尚夏网络有限公司,20-99人,[]
java中高级开发工程师,15-21K,"['3-5年', '本科']","['Java', '不接受居家办公', '微服务经验', 'shell', 'SpringCloud', 'MySQL', 'Spring', 'apaas']",3-5年,本科,上海,上海艾融软件,1000-9999人,"['生日福利', '团建聚餐', '加班补助', '零食下午茶', '节日福利', '定期体检', '带薪年假', '五险一金']"
java开发实习生,150-200元/天,"['4天/周', '3个月', '本科']","['Java', 'Redis', 'springboot']",,本科,北京,北京卓行数智科技,0-20人,[]
java实习生,100-150元/天,"['5天/周', '6个月', '硕士']","['Java', 'MySQL', 'Redis', 'Dubbo', 'Spring']",,硕士,上海,上海凡锐达数据科技,0-20人,['五险一金']
Java开发（威海银行驻场）,10-14K,"['3-5年', '本科']","['Java', 'SpringCloud', 'MySQL']",3-5年,本科,烟台,比冲科技,20-99人,[]
java中级开发工程师,14-15K,"['5-10年', '本科']","['不接受居家办公', 'Java', 'C', 'C++', 'Golang', 'Python', 'Spring', 'SpringCloud', 'MyBatis', 'Hibernate', 'Kafka', 'MySQL', 'Redis', 'Oracle', 'MongoDB', 'HBase', '架构设计经验', '分布式经验', '云计算经验', '物联网经验', '大数据经验']",5-10年,本科,深圳,贵州吉芯微科技,20-99人,"['带薪年假', '员工旅游', '底薪加提成', '绩效奖金', '保底工资', '年终奖', '五险一金']"
Java开发工程师(高级),8-13K,"['5-10年', '本科']","['Java', 'Nginx', 'Hibernate', '团队管理经验', '分布式经验', 'SpringCloud', '服务器配置', '分布式技术', 'Redis', 'SpringMVC', 'SpringBoot', 'Spring', '微服务经验', '负载均衡技术', 'MySQL', 'MyBatis', '架构设计经验', 'Oracle']",5-10年,本科,南宁,明者网络科技,20-99人,"['员工旅游', '节日福利', '零食下午茶', '转正社保']"
java开发工程师,20-21K·16薪,"['3-5年', '本科']","['Java', 'SpringCloud', 'Oracle', 'PostgreSQL']",3-5年,本科,深圳,某知名投资公司,1000-9999人,[]
高级后端研发工程师,30-60K·20薪,"['5-10年', '本科']","['Java', 'Kafka', 'Hive', '大数据经验', '不接受居家办公', '图计算', 'flink']",5-10年,本科,成都,京东集团,10000人以上,"['补充医疗保险', '全勤奖', '带薪年假', '意外险', '年终奖', '交通补助', '餐补', '定期体检', '五险一金']"
JAVA服务器开发,12-16K,"['3-5年', '本科']","['Java开发经验', 'Java', '分布式系统开发经验', '游戏引擎', 'Socket技术', '服务器配置', '分布式技术', '后端工程师', '游戏开发']",3-5年,本科,武汉,积萃科技,20-99人,"['零食下午茶', '节日福利', '生日福利', '团建聚餐', '住房补贴', '带薪年假', '年终奖', '员工旅游', '五险一金']"
java开发工程师-筛选快,13-19K,"['3-5年', '本科']","['Java', '不接受居家办公', '微服务经验', '银行', '保险', 'MySQL', 'Spring']",3-5年,本科,深圳,新致软件,1000-9999人,"['节日福利', '带薪年假', '补充医疗保险', '年终奖', '定期体检', '员工旅游', '五险一金', '通讯补贴']"
