职位,期待薪资,工作标签,技能要求,工作经验,学历,城市,公司,公司规模,福利列表
高级图像算法工程师,22-23K,"['1-3年', '博士']","['C/C++', 'Python', 'MATLAB', '计算机相关专业', '图像识别经验', '遥感影像相关经验']",1-3年,博士,上海,某大型电子公司,100-499人,[]
大模型应用算法工程师,25-35K,"['3-5年', '本科']","['机器学习', '深度学习', '大模型算法', '图像处理库（OpenCV等）', '发表算法相关优秀论文', '模型加速/性能优化', '优秀开源项目经历', '电商或SaaS行业']",3-5年,本科,成都,某大型大数据公司,100-499人,[]
【算法平台】图像算法专家,45-75K·16薪,"['经验不限', '本科']","['深度学习', '机器学习', '目标检测', '图像生成', 'C/C++', 'Python', 'Java', '模型加速/性能优化', '分割']",经验不限,本科,上海,上海某大型电子商务公司,1000-9999人,"['餐补', '生日福利', '绩效奖金', '节日福利', '交通补助', '定期体检', '加班补助', '股票期权', '年终奖', '五险一金', '带薪年假', '零食下午茶']"
图像处理,12-24K,"['1-3年', '本科']",['C#'],1-3年,本科,成都,华科,20-99人,[]
机器视觉算法工程师,15-30K,"['5-10年', '硕士']","['C/C++', '机器视觉', '图像处理', '目标检测', '图像处理库（OpenCV等）', '传统图像算法', '目标跟踪', '优秀开源项目经历', 'Python', '模型加速/性能优化']",5-10年,硕士,济南,玫德集团有限公司,10000人以上,"['交通补助', '员工旅游', '年终奖', '股票期权', '餐补']"
机器视觉方案工程师,10-15K,"['3-5年', '本科']","['机器学习', 'VisionPro', '目标检测', '工业/缺陷检测', '图像处理库（OpenCV等）', 'HALCON', 'Python']",3-5年,本科,宁德,宁德思客琦,1000-9999人,"['免费公寓', '包住', '年终奖', '生日福利', '节日福利', '团建聚餐', '五险一金', '餐补', '有无线网', '免费工装', '员工旅游', '宿舍有空调', '带薪年假']"
图像算法工程师,20-30K·15薪,"['3-5年', '硕士']","['深度学习', 'C/C++', '图像处理库（OpenCV等）', '模型加速/性能优化', '图像算法', '缺陷识别', 'Caffe、TensorFlow', 'PyTorch、Keras', '边缘计算，算子开发']",3-5年,硕士,苏州,星逻智能,100-499人,"['节日福利', '高温补贴', '法定节假日三薪', '节假日加班费', '绩效奖金', '带薪年假', '补充医疗保险', '员工旅游', '团建聚餐', '零食下午茶', '企业年金', '餐补', '五险一金', '股票期权', '年终奖']"
图像算法工程师,15-30K,"['1-3年', '本科']","['深度学习', '图像生成', '目标跟踪', '图像搜索', '融合感知算法', 'C/C++', '图像处理库（OpenCV等）', 'HALCON']",1-3年,本科,苏州,某中型仪器仪表/工业自动化公司,100-499人,[]
AI视效生成,15-25K,"['1-3年', '本科']","['图像处理库（OpenCV等）', '多模态算法', 'AI', '图像生成', '人像算法', 'Python']",1-3年,本科,北京,北京朱氏兄弟,100-499人,"['有无线网', '带薪年假', '包吃', '五险一金', '节日福利', '团建聚餐']"
高级网络工程师(004740),15-25K,"['1-3年', '本科']","['有网络工程师经验', 'Java', '1到3年网络工程师经验', '计算机相关专业', 'CCNA/HCIA等']",1-3年,本科,北京,辰安信息,100-499人,"['意外险', '补充医疗保险', '五险一金', '交通补助', '餐补', '带薪年假', '免费班车', '节日福利', '通讯补贴', '年终奖', '定期体检']"
急招 网络工程师 HCIE,9-14K,"['经验不限', '本科']","['CCNP/HCIP等', 'CCIE/HCIE等', '通信相关专业', '网络架构设计', '有网络工程师经验', '1到3年网络工程师经验', 'CCNA/HCIA等', '系统集成商', '计算机相关专业', '3到5年网络工程师经验', '大型网络运维']",经验不限,本科,北京,凌华峰,100-499人,"['通讯补贴', '节日福利', '团建聚餐', '员工旅游', '定期体检', '法定节假日三薪', '生日福利', '带薪年假', '意外险', '免费工装', '交通补助', '五险一金', '全勤奖']"
研发专家（网络）,50-80K·15薪,"['5-10年', '本科']","['有网络工程师经验', '甲方企业', '不需要出差', '5年以上网络工程师经验', '通信相关专业', '计算机相关专业', '熟悉Linux等操作系统', '网络架构设计', '大型网络实施', '负载均衡/控制/数据面']",5-10年,本科,北京,某头部大型计算机软件公司,1000-9999人,"['节日福利', '五险一金', '带薪年假', '年终奖', '定期体检', '企业年金']"
网络产品售前售后技术支持,11-18K,"['3-5年', '本科']","['有网络工程师经验', '3到5年网络工程师经验', '通信相关专业', '计算机相关专业', 'CCNP/HCIP等', 'CCIE/HCIE等', '通信设备商', '网络测试', '交换机']",3-5年,本科,北京,北京网测科技有限公司,20-99人,"['零食下午茶', '年终奖', '加班补助', '五险一金', '带薪年假', '团建聚餐', '节假日加班费']"
网络及安全工程师,25-35K,"['5-10年', '本科']","['网络架构', 'Java', '不需要出差', '网络架构设计', '有网络工程师经验', 'Zabbix/Prometheus', '熟悉Linux等操作系统', '3到5年网络工程师经验', '甲方企业', 'Python']",5-10年,本科,北京,云控智行,100-499人,"['五险一金', '带薪年假', '节日福利', '年终奖', '定期体检', '补充医疗保险', '餐补']"
高级网络工程师-基础技术-北京上海杭州,35-55K·16薪,"['3-5年', '本科']","['有网络工程师经验', 'Python', 'C/C++', '甲方企业', '3到5年网络工程师经验', '网络架构设计', '大型网络实施', 'CCNP/HCIP等', 'CCIE/HCIE等', 'CCNA/HCIA等', 'PMP证书', '骨干网', 'Overlay', 'OTN', '数据中心']",3-5年,本科,北京,某知名电子商务公司,1000-9999人,"['年终奖', '生日福利', '包吃', '住房补贴', '团建聚餐', '五险一金', '零食下午茶', '餐补', '加班补助', '定期体检', '带薪年假', '股票期权']"
驻场工程师（ICT）,10-15K,"['5-10年', '大专']","['CCNP/HCIP等', 'CCIE/HCIE等', '不需要出差', '5年以上网络工程师经验', '网络架构设计', '有网络工程师经验', '数据中心运维', 'CCNA/HCIA等', '系统集成商', '大型网络实施', '3到5年网络工程师经验', '大型网络运维']",5-10年,大专,北京,鹍智科技,20-99人,"['节假日加班费', '节日福利', '五险一金', '定期体检', '生日福利', '年终奖', '带薪年假', '法定节假日三薪', '绩效奖金', '保底工资', '零食下午茶', '团建聚餐']"
网络工程师,20-21K,"['3-5年', '本科']","['有网络工程师经验', 'C/C++', '系统集成商', '不需要出差', '3到5年网络工程师经验', '1到3年网络工程师经验', '计算机相关专业', '大型网络实施', '大型网络运维', '熟悉Linux等操作系统', '网络架构设计', 'CCNA/HCIA等']",3-5年,本科,北京,某学术公司,20-99人,"['零食下午茶', '包住', '通讯补贴', '有无线网', '包吃', '免费班车', '免费工装', '员工旅游', '交通补助', '餐补', '定期体检', '高温补贴', '团建聚餐', '节日福利', '宿舍有空调', '生日福利', '五险一金', '意外险', '补充医疗保险', '住房补贴']"
初中级网络工程师,10-15K,"['1-3年', '本科']","['有网络工程师经验', '不需要出差', '3到5年网络工程师经验', '1到3年网络工程师经验', '金融网络运维', '大型网络运维', 'CCNA/HCIA等', '金融行业']",1-3年,本科,北京,中电信数智,1000-9999人,"['定期体检', '五险一金', '带薪年假', '节日福利', '餐补', '专业培训资源', '员工旅游', '通讯补贴', '交通补助', '交通补助', '节日、生日卡', '加班补助', '培训资源丰富', '5G内部套餐', '各类礼品卡', '补充医疗保险', '年终奖']"
网络运维工程师,11-16K,"['5-10年', '本科']","['有网络工程师经验', '不需要出差', '5年以上网络工程师经验', '熟悉Linux等操作系统', 'CCNP/HCIP等']",5-10年,本科,北京,上海灏鑫,100-499人,"['定期体检', '五险一金', '年终奖', '节日福利', '带薪年假']"
网络工程师,15-25K,"['1-3年', '本科']","['不需要出差', '通信相关专业', '有网络工程师经验', '1到3年网络工程师经验', '通信设备商']",1-3年,本科,北京,某小型通信/网络设备公司,20-99人,[]
网络工程师,12-16K,"['3-5年', '本科']","['有网络工程师经验', '不需要出差', '3到5年网络工程师经验', '通信相关专业', '计算机相关专业', '大型网络运维', '数据中心运维', 'CCIE/HCIE等']",3-5年,本科,北京,新华三技术有限公司,10000人以上,"['免费班车', '餐补', '团建聚餐', '年终奖', '带薪年假', '有无线网', '补充医疗保险', '零食下午茶', '定期体检', '通讯补贴', '加班补助', '交通补助', '五险一金', '节日福利', '员工旅游']"
网络测试工程师,300-500元/天,"['3-5年', '硕士']","['通信相关专业', 'Python', '不需要出差', '有网络工程师经验', '3到5年网络工程师经验', 'TRex', 'iperf3', 'QOS']",3-5年,硕士,北京,北京进贰科技有限公司,0-20人,"['零食下午茶', '带薪年假', '五险一金']"
资深数据中心运维工程师,20-30K·16薪,"['5-10年', '本科']","['网络架构设计', 'CCNP/HCIP等', 'CCIE/HCIE等', '甲方企业', '有网络工程师经验', '5年以上网络工程师经验', '2/3层网络技术', 'IP服务保障技术', '跨公司网络运维建设']",5-10年,本科,北京,某大型知名互联网金融公司,10000人以上,[]
网络技术工程师（海外业务）,15-30K,"['3-5年', '本科']","['有网络工程师经验', '通信设备商', '1年以内网络工程师经验', '通信相关专业', 'CCNA/HCIA等']",3-5年,本科,北京,东土科技,1000-9999人,"['带薪年假', '加班补助', '定期体检', '年终奖', '五险一金', '餐补', '节日福利']"
网络工程师,20-40K,"['5-10年', '本科']","['有网络工程师经验', '运营商', '3到5年网络工程师经验', '计算机相关专业', '通信相关专业', '大型网络实施', '大型网络运维', '数据中心运维', 'PMP证书']",5-10年,本科,北京,江苏是石科技,20-99人,"['零食下午茶', '有无线网', '免费工装', '团建聚餐', '节日福利', '法定节假日三薪', '年终奖', '节假日加班费', '夜班补助', '餐补', '全勤奖', '五险一金', '带薪年假', '绩效奖金']"
网络架构工程师,18-35K,"['5-10年', '本科']","['有网络工程师经验', '5年以上网络工程师经验', '智算建设', '服务器']",5-10年,本科,北京,九章云极,100-499人,"['团建聚餐', '补充医疗保险', '带薪年假', '节假日加班费', '通讯补贴', '股票期权', '年终奖', '意外险', '定期体检', '住房补贴', '五险一金', '节日福利']"
数据中心网络工程师,40-70K·16薪,"['5-10年', '本科']","['Python', '网络建设/系统集成经验', '网络运维经验', 'CCIE', 'HCIE', 'GPU', '超算IDC']",5-10年,本科,北京,某500强上市公司,1000-9999人,"['零食下午茶', '补充医疗保险', '五险一金', '带薪年假', '定期体检']"
网络工程师,12-15K,"['1-3年', '本科']","['有网络工程师经验', '3到5年网络工程师经验', '数据中心运维', '不需要出差']",1-3年,本科,北京,北京电旗,1000-9999人,"['意外险', '五险一金', '法定节假日三薪', '团建聚餐', '定期体检', '餐补', '通讯补贴', '生日福利']"
IDC运维管理专家,40-70K·15薪,"['10年以上', '本科']","['不需要出差', '有网络工程师经验', '5年以上网络工程师经验', '互联网数据中心运维', '大规模带库集群建设', 'IDC运维', '集群网络']",10年以上,本科,北京,某大型互联网智能辅助驾驶技术公司,1000-9999人,"['年终奖', '带薪年假', '团建聚餐', '补充医疗保险', '零食下午茶', '住房补贴', '节日福利', '免费班车', '股票期权', '定期体检', '五险一金']"
初中级网络工程师,10-15K,"['1-3年', '本科']","['有网络工程师经验', '不需要出差', '3到5年网络工程师经验', '1到3年网络工程师经验', '金融网络运维', '大型网络运维', 'CCNA/HCIA等', '金融行业']",1-3年,本科,北京,中电信数智,1000-9999人,"['定期体检', '五险一金', '带薪年假', '节日福利', '餐补', '专业培训资源', '员工旅游', '通讯补贴', '交通补助', '交通补助', '节日、生日卡', '加班补助', '培训资源丰富', '5G内部套餐', '各类礼品卡', '补充医疗保险', '年终奖']"
网络软件研发工程师（交换研发）,15-25K·13薪,"['3-5年', '本科']","['网络交换协议开发维护', '二三层网络协议']",3-5年,本科,北京,万方电子技术,100-499人,"['十三薪', '带薪年假', '项目奖金', '年终奖', '绩效奖金', '餐补', '五险一金', '节日福利']"
网络测试工程师,300-500元/天,"['3-5年', '硕士']","['通信相关专业', 'Python', '不需要出差', '有网络工程师经验', '3到5年网络工程师经验', 'TRex', 'iperf3', 'QOS']",3-5年,硕士,北京,北京进贰科技有限公司,0-20人,"['零食下午茶', '带薪年假', '五险一金']"
资深数据中心运维工程师,20-30K·16薪,"['5-10年', '本科']","['网络架构设计', 'CCNP/HCIP等', 'CCIE/HCIE等', '甲方企业', '有网络工程师经验', '5年以上网络工程师经验', '2/3层网络技术', 'IP服务保障技术', '跨公司网络运维建设']",5-10年,本科,北京,某大型知名互联网金融公司,10000人以上,[]
网络运维,10-15K,"['经验不限', '本科']","['有网络工程师经验', '甲方企业', '不需要出差', '1到3年网络工程师经验', '3到5年网络工程师经验', '5年以上网络工程师经验', '熟悉Linux等操作系统', 'CCNP/HCIP等']",经验不限,本科,北京,满诚科技,0-20人,[]
